Name,Gender,DOB,POB,DOD,POD,Description,Image,ID
麻某,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431455
朱象先,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431456
釋擇仁,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431477
宣亨,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431489
李明文,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431506
王顯道,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431514
戴某,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431517
包寀,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431543
任從一,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431561
李懷袞,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431630
李祐之,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431637
王華,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431640
王可訓,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431692
朱瑩,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431752
洪子範,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431808
田景,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431821
胡錫,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431827
黃居寶,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431880
司馬寇,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431913
李東,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431931
趙大亨,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431956
包鼎,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431989
宋永年,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45431994
衛松,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432018
李植,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432046
王延嗣,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432050
李誕,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432065
